Country,Year,Access to Electricity(%),Food Production Index,Population Density,Unemployed Labour(%),"Road Accident Mortality(per 100,000 people)",Electric power consumption(kWh/Capita),GDP Deflator,GDP/Capita($),Literacy Rate Adult,Immunization(Measles %),Immunization(DPT %),Life Expectancy at Birth,Total greenhouse gas emissions (kt of CO2 equivalent),Rural Population(%)
Trinidad and Tobago,2005,97.59896088,114.69,252.72846,3.89,19.2,5143.860726,13.32142572,12327.28071,97.90000153,93,95,70.691,21690,45.033
Trinidad and Tobago,2006,100,116.28,253.9087719,4.03,20.1,5309.576892,1.729212659,14102.59329,97.90000153,89,92,70.952,24420,45.221
Trinidad and Tobago,2007,100,121.85,255.0584795,4.17,21,5672.360426,12.75185029,16539.89075,97.90000153,91,88,71.21,24460,45.41
Trinidad and Tobago,2008,100,100.13,256.2278752,4.22,24.8,5711.138279,23.792521,21204.00818,97.90000153,91,90,71.464,23710,45.598
Trinidad and Tobago,2009,99,105.51,257.4894737,4.03,22.1,5717.223059,-27.63179205,14514.24061,97.90000153,94,90,71.71,22950,45.787
Trinidad and Tobago,2010,100,111.39,258.8974659,4.03,20.2,6189.08793,12.73333613,16683.39306,98.69999695,92,90,71.946,25560,45.975
Trinidad and Tobago,2011,100,108.76,260.4639376,3.43,15.9,6383.122034,15.72970325,19034.12071,98.69999695,92,90,72.17,26410,46.164
Trinidad and Tobago,2012,100,109.8,262.1469786,3.72,17.8,6612.810396,0.344842578,19157.45977,98.69999695,85,92,72.382,25620,46.329
Trinidad and Tobago,2013,100,109.48,263.8807018,2.68,14,6848.596595,3.744133091,20143.54541,98.69999695,91,92,72.582,26520,46.47
Trinidad and Tobago,2014,100,109.51,265.562768,2.48,14.8,7092.958644,1.675099187,20270.93377,98.69999695,96,92,72.768,25990,46.587
Tunisia,2000,94.8,67.05,62.4893602,14.94,23.7,976.4793121,3.283579422,2211.835015,74.29699707,95,97,73.172,30470,36.568
Tunisia,2001,97.3,57.88,63.0401326,14.4,23.2,1035.336737,3.913577761,2253.034852,74.29699707,92,98,73.415,31230,36.182
Tunisia,2002,97.8,58.57,63.53798275,14.55,22.9,1066.125189,2.284802834,2344.396907,74.29699707,94,96,73.638,31310,35.798
Tunisia,2003,98.4,85.03,64.014431,14.51,23.3,993.5364327,2.684756153,2760.405122,74.29699707,90,95,73.842,31520,35.415
Tunisia,2004,99,73.49,64.51002832,14.23,23.4,1034.595129,3.351609565,3111.374381,74.29699707,95,97,74.034,32670,35.05
Tunisia,2005,99.3,80.88,65.05392636,12.87,24.1,1083.53028,4.175835997,3193.204358,74.29699707,96,98,74.217,33180,34.763
Tunisia,2006,99.4,84.31,65.66175978,12.51,23.9,1107.613596,3.833826457,3369.924443,74.29699707,98,99,74.391,34230,34.476
Tunisia,2007,99.4,84.07,66.32807029,12.37,23.7,1151.024932,2.12647652,3776.332046,77.19039917,98,98,74.558,34920,34.191
Tunisia,2008,99.4,86.91,67.0341465,12.44,24,1188.927857,6.340324179,4307.580023,77.7146225,98,99,74.72,35050,33.907
Tunisia,2009,99.5,85.48,67.75032827,13.29,23.8,1274.120625,3.023045002,4128.463959,77.7146225,98,99,74.88,35630,33.624
Tunisia,2010,99.5,84.56,68.45549047,13.05,23.9,1364.989711,3.814857446,4141.975964,79.13057709,97,98,75.041,37960,33.343
Tunisia,2011,99.5,85.29,69.14181256,18.33,23.7,1323.046858,4.279861527,4264.678122,79.65390778,94,98,75.206,36290,33.062
Tunisia,2012,99.5,96.26,69.81844104,17.63,22.9,1408.869721,4.804844796,4152.684394,80.21875,93,95,75.376,37240,32.782
Tunisia,2013,99.7,93.33,70.50044413,15.93,22.8,1425.917349,3.876879252,4222.70514,79.7146225,95,95,75.552,37120,32.505
Tunisia,2014,99.8,89.68,71.2100605,15.06,22.8,1454.643076,4.60866763,4305.482357,79.03643036,94,94,75.734,39360,32.228
Turkmenistan,2000,99.6,58.5,9.610214287,11.67,16.1,1692.15753,23.46454819,643.1909754,99.69999695,96,97,63.613,69800,54.087
Turkmenistan,2001,99.72142792,64.96,9.712269913,10.7,16.3,1782.831922,32.31486274,774.482152,99.69999695,98,95,63.842,73010,53.863
Turkmenistan,2002,99.73254395,78.02,9.810010001,9.87,16.7,1776.348813,25.15310015,967.8874353,99.69999695,88,98,64.101,77390,53.638
Turkmenistan,2003,99.73419189,84.68,9.907330879,9,16.8,1746.227033,27.15432986,1283.908782,99.69999695,97,83,64.386,84550,53.413
Turkmenistan,2004,99.72519684,85.37,10.00871619,8.12,17.3,1913.723616,18.34776382,1453.917784,99.69999695,97,97,64.693,89020,53.188
